Players,Embeddings
"('Buffon\n (GK)', 'Juventus')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Pogba', 'Juventus')","[0.88148148 0.05952381 0.08333333 0.16666667 0.11111111 0.01960784
 0.05       0.28571429 0.02380952]"
"('Marchisio', 'Juventus')","[0.58641975 0.02380952 0.04166667 0.         0.         0.00980392
 0.03888889 0.05555556 0.        ]"
"('Morata', 'Juventus')","[0.80740741 0.06349206 0.11111111 0.55555556 0.07407407 0.00653595
 0.01111111 0.07936508 0.03174603]"
"('Tévez', 'Juventus')","[0.97777778 0.04081633 0.07142857 0.42857143 0.14285714 0.
 0.         0.04081633 0.        ]"
"('Barzagli', 'Juventus')","[0.63765432 0.         0.         0.         0.         0.
 0.1        0.04761905 0.        ]"
"('Bonucci', 'Juventus')","[1.         0.01879699 0.05263158 0.         0.         0.00309598
 0.13684211 0.07518797 0.        ]"
"('Pirlo', 'Juventus')","[0.85185185 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Vidal', 'Juventus')","[0.95555556 0.02040816 0.         0.14285714 0.         0.
 0.         0.02040816 0.        ]"
"('Lichtsteiner', 'Juventus')","[0.57602339 0.0112782  0.02631579 0.         0.03508772 0.02786378
 0.01052632 0.06766917 0.        ]"
"('Evra', 'Juventus')","[0.99753086 0.         0.         0.         0.         0.00653595
 0.04444444 0.01587302 0.        ]"
"('Storari\n (GK)', 'Juventus')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ogbonna', 'Juventus')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Coman', 'Juventus')","[0.00740741 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Llorente', 'Juventus')","[0.06984127 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Padoin', 'Juventus')","[0.00793651 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Sturaro', 'Juventus')","[0.14555556 0.02142857 0.05       0.1        0.         0.00588235
 0.01       0.01428571 0.        ]"
"('Pereyra', 'Juventus')","[0.32098765 0.         0.         0.         0.03703704 0.
 0.01111111 0.03174603 0.        ]"
"('Massimiliano Allegri', 'Juventus(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ter Stegen\n (GK)', 'Barcelona')",[1.    0.    0.    0.    0.    0.    0.004 0.    0.   ]
"('Piqué', 'Barcelona')","[1.         0.02083333 0.03125    0.08333333 0.         0.
 0.10416667 0.08333333 0.01190476]"
