Teams,Embeddings
Juventus,"[0.2202381  0.35576923 0.40555556 0.28819444 0.41987179 0.2037037
 0.43560606 0.29729122 0.66615251 0.2984481  0.35984848 0.36538462
 0.52173913 0.43229167]"
Barcelona,"[0.28       0.41538462 0.33333333 0.27333333 0.39076923 0.21777778
 0.71       0.5149892  0.81558782 0.19943662 0.30181818 0.25948718
 0.3773913  0.265     ]"
Real Madrid,"[0.27586207 0.49071618 0.42298851 0.23850575 0.50397878 0.31417625
 0.5846395  0.43431146 0.82480946 0.22929146 0.27899687 0.32891247
 0.32083958 0.28448276]"
Bayern,"[0.32738095 0.46794872 0.40555556 0.15972222 0.41346154 0.25
 0.71212121 0.49028078 0.82449439 0.30118675 0.3219697  0.21581197
 0.47826087 0.44791667]"
Atlético,"[0.12781955 0.29959514 0.4        0.4254386  0.51417004 0.16959064
 0.32655502 0.21342503 0.38627327 0.37023309 0.33492823 0.44129555
 0.40961098 0.49342105]"
Monaco,"[0.22857143 0.32307692 0.29333333 0.19166667 0.40769231 0.25555556
 0.35909091 0.18779698 0.52795176 0.20375587 0.32727273 0.49487179
 0.45652174 0.2875    ]"
Paris,"[0.20408163 0.37912088 0.2952381  0.25595238 0.43956044 0.36507937
 0.55357143 0.43705646 0.82288961 0.21003801 0.41558442 0.26923077
 0.46583851 0.49107143]"
Porto,"[0.16666667 0.30128205 0.33333333 0.24305556 0.27564103 0.19444444
 0.42992424 0.28023758 0.58243595 0.3114241  0.21969697 0.41239316
 0.42753623 0.5625    ]"
Dortmund,"[0.14285714 0.36538462 0.33333333 0.14583333 0.47115385 0.43055556
 0.67045455 0.46598272 0.75762313 0.27875587 0.36363636 0.16666667
 0.22826087 0.15625   ]"
Man. City,"[0.26190476 0.3034188  0.28518519 0.21759259 0.33760684 0.29012346
 0.5959596  0.44522438 0.7691224  0.22839506 0.28787879 0.26210826
 0.34541063 0.40277778]"
Leverkusen,"[0.10714286 0.30769231 0.25       0.27083333 0.53846154 0.08333333
 0.625      0.35691145 0.53622017 0.41862285 0.31818182 0.48076923
 0.65217391 0.53125   ]"
Arsenal,"[0.14285714 0.32051282 0.31111111 0.31944444 0.38461538 0.2037037
 0.35984848 0.30039597 0.65768394 0.23291601 0.33333333 0.26495726
 0.38405797 0.47916667]"
Shakhtar Donetsk,"[0.07142857 0.15384615 0.25       0.25       0.34615385 0.27777778
 0.43181818 0.26592873 0.69101016 0.20461659 0.20454545 0.47435897
 0.32608696 0.78125   ]"
Chelsea,"[0.14285714 0.33333333 0.27777778 0.23611111 0.44871795 0.24074074
 0.33712121 0.29319654 0.72432412 0.28638498 0.34848485 0.31623932
 0.65942029 0.3125    ]"
Schalke,"[0.21428571 0.28846154 0.15       0.27083333 0.23076923 0.13888889
 0.28409091 0.22273218 0.59324977 0.2586072  0.40909091 0.29487179
 0.30434783 0.25      ]"
Basel,"[0.10714286 0.19230769 0.16666667 0.25       0.21153846 0.38888889
 0.1875     0.19735421 0.52618917 0.36306729 0.29545455 0.32692308
 0.5326087  0.65625   ]"
Benfica,"[0.14285714 0.29487179 0.32222222 0.18055556 0.35897436 0.22222222
 0.33712121 0.19330454 0.44663574 0.23787167 0.22727273 0.32905983
 0.51449275 0.25      ]"
Wolfsburg,"[0.21428571 0.36538462 0.26666667 0.25       0.5        0.13888889
 0.375      0.28185745 0.65091562 0.2856025  0.31818182 0.32692308
 0.43478261 0.3125    ]"
PSV,"[0.         0.07692308 0.46666667 0.45833333 0.42307692 0.
 0.47727273 0.28131749 0.57556168 0.5657277  0.5        0.74358974
 0.41304348 0.875     ]"
Dynamo Kyiv,"[0.07142857 0.30769231 0.4        0.04166667 0.30769231 0.27777778
 0.57954545 0.40226782 0.75299143 0.342723   0.36363636 0.19230769
 0.43478261 0.125     ]"
Zenit,"[0.07142857 0.23076923 0.36666667 0.25       0.46153846 0.72222222
 0.40909091 0.20680346 0.57465112 0.23004695 0.45454545 0.43589744
 0.43478261 0.8125    ]"
Roma,"[0.21428571 0.36923077 0.51333333 0.39166667 0.53076923 0.2
 0.39318182 0.27775378 0.53944725 0.3258216  0.34545455 0.34871795
 0.38695652 0.225     ]"
Gent,"[0.14285714 0.38461538 0.26666667 0.375      0.5        0.27777778
 0.59090909 0.43034557 0.73284185 0.3114241  0.09090909 0.14102564
 0.47826087 0.0625    ]"
Leicester,"[0.14285714 0.21153846 0.5        0.1875     0.48076923 0.11111111
 0.22159091 0.14443844 0.27157329 0.17879499 0.22727273 0.61538462
 0.34782609 0.21875   ]"
Sevilla,"[0.11904762 0.3974359  0.47777778 0.26388889 0.5        0.09259259
 0.61363636 0.38138949 0.70858817 0.24934794 0.27272727 0.35897436
 0.31884058 0.64583333]"
Napoli,"[0.14285714 0.23076923 0.66666667 0.29166667 0.53846154 0.22222222
 0.46590909 0.49352052 0.78968324 0.34820031 0.09090909 0.16666667
 0.5        0.25      ]"
Liverpool,"[0.33673469 0.36263736 0.36666667 0.26190476 0.40659341 0.26984127
 0.42045455 0.32883369 0.43119421 0.28124301 0.36363636 0.37912088
 0.36024845 0.1875    ]"
