Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","Camp de Mestalla, Valencia","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","RB Arena, Leipzig","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London",Home_Game,Form_index
Juventus,0.14285714285714285,0.3513513513513513,0.46153846153846156,0.4,0.16666666666666666,0.06666666666666667,0.5,0.1111111111111111,0.25,0.18682505399568036,0.6459038080618877,0.18385650224215244,0.3051643192488262,0.0655737704918033,0.36363636363636365,0.1568627450980392,0.0,0.25,0.0,0.9130434782608697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
Barcelona,0.42857142857142855,0.3513513513513513,0.6153846153846154,0.4,0.0,0.07133333333333333,0.5,0.0,0.7500000000000001,0.43196544276457893,0.8396745703514479,0.42937219730941706,0.269170579029734,0.24590163934426235,0.18181818181818182,0.23529411764705882,0.16666666666666666,0.125,0.0,0.39130434782608703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000002
Real Madrid,0.14285714285714285,0.5675675675675674,0.38461538461538464,0.9333333333333333,0.25,0.25,0.5,0.0,0.5909090909090909,0.36285097192224625,0.9182658673211006,0.3778026905829596,0.2190923317683881,0.4098360655737705,0.4545454545454546,0.21568627450980393,0.08333333333333333,0.25,0.0,0.3478260869565218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20000000000000007
Juventus,0.14285714285714285,0.48648648648648646,0.3076923076923077,0.9333333333333333,0.08333333333333333,0.06666666666666667,0.5,0.5555555555555556,0.40909090909090906,0.28293736501079914,0.7129121050206129,0.27578475336322866,0.33646322378716736,0.3278688524590164,0.2727272727272727,0.47058823529411764,0.25,0.25,0.0,0.17391304347826092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Bayern,0.42857142857142855,0.5135135135135135,0.6153846153846154,0.5333333333333333,0.3333333333333333,0.11,0.3125,0.3333333333333333,0.5681818181818182,0.4632829373650109,0.8105612257023678,0.45291479820627806,0.31142410015649474,0.5081967213114754,0.2727272727272727,0.0392156862745098,0.08333333333333333,0.625,0.0,0.6956521739130436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20000000000000007
Barcelona,0.2857142857142857,0.3243243243243243,0.3076923076923077,0.5333333333333333,0.08333333333333333,0.07133333333333333,0.3125,0.3333333333333333,0.43181818181818177,0.3498920086393089,0.691738594327989,0.33183856502242154,0.28794992175273876,0.24590163934426235,0.2727272727272727,0.2745098039215686,0.3333333333333333,0.25,0.0,0.39130434782608703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Barcelona,0.42857142857142855,0.43243243243243235,0.6153846153846154,0.4666666666666667,0.16666666666666666,0.07133333333333333,0.125,0.3333333333333333,0.43181818181818177,0.3002159827213823,0.6579224182106405,0.2836322869955157,0.31142410015649474,0.6065573770491803,0.2727272727272727,0.1568627450980392,0.25,0.375,0.0,0.5217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bayern,0.0,0.2432432432432432,0.0,0.4666666666666667,0.25,0.11,0.125,0.2222222222222222,0.5681818181818182,0.4168466522678187,0.808954540212691,0.4103139013452915,0.26760563380281716,0.4918032786885247,0.6363636363636364,0.3529411764705882,0.16666666666666666,0.375,0.0,0.4782608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Juventus,0.2857142857142857,0.29729729729729726,0.5384615384615385,0.26666666666666666,0.08333333333333333,0.06666666666666667,0.0625,0.3333333333333333,0.4545454545454545,0.33261339092872577,0.8747255664435243,0.3430493273542601,0.3270735524256653,0.29508196721311475,0.6363636363636364,0.23529411764705882,0.25,0.5,0.0,0.7826086956521741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001
Real Madrid,0.14285714285714285,0.2432432432432432,0.23076923076923078,0.26666666666666666,0.25,0.25,0.0625,0.1111111111111111,0.5454545454545455,0.39416846652267823,0.8675183097322612,0.3991031390134529,0.20813771517996854,0.1803278688524591,0.09090909090909091,0.1568627450980392,0.08333333333333333,0.375,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
