Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played,Home_Game
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,0.782608695652174,0
Pogba,Juventus,0,0.142857142857143,0.25,0,0,0,0.285714285714286,0,0.782608695652174,0
Marchisio,Juventus,0,0.214285714285714,0.5,0,0.181818181818182,0,0,0,0.782608695652174,0
Morata,Juventus,0.25,0.214285714285714,0.25,0,0.090909090909091,0,0,0,0.739130434782609,0
Tévez,Juventus,0,0.285714285714286,0.5,0.333333333333333,0,0.04,0.285714285714286,0,0.782608695652174,0
Barzagli,Juventus,0,0,0,0,0.272727272727273,0,0.142857142857143,0,0.782608695652174,0
Bonucci,Juventus,0,0,0,0,0.090909090909091,0,0.571428571428571,0,0.782608695652174,0
Pirlo,Juventus,0,0,0,0,0.090909090909091,0.36,0,0,0.782608695652174,0
Vidal,Juventus,0,0.142857142857143,0,0,0.272727272727273,0,0.714285714285714,0,0.68695652173913,0
Lichtsteiner,Juventus,0,0,0,0,0.272727272727273,0.04,0.428571428571429,0,0.782608695652174,0
Evra,Juventus,0,0,0,0,0,0.12,0.571428571428571,0.142857142857143,0.773913043478261,0
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0,0
Ogbonna,Juventus,0,0,0,0,0,0,0,0,0,0
Coman,Juventus,0,0,0,0,0,0,0,0,0.008695652173913,0
Llorente,Juventus,0,0,0,0,0,0,0,0,0.043478260869565,0
Padoin,Juventus,0,0,0,0,0,0,0,0,0,0
Sturaro,Juventus,0,0,0,0,0,0,0,0,0,0
Pereyra,Juventus,0,0,0,0,0,0,0,0,0.095652173913044,0
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,0
Piqué,Barcelona,0,0.071428571428572,0,0,0,0,0.285714285714286,0,0.782608695652174,0
Rakitić,Barcelona,0.25,0.071428571428572,0.25,0,0,0.12,0.142857142857143,0,0.782608695652174,0
Sergio Busquets,Barcelona,0,0,0,0,0.181818181818182,0.04,0,0,0.782608695652174,0
Iniesta,Barcelona,0,0,0,0.333333333333333,0,0,0,0,0.678260869565217,0
Luis Suárez,Barcelona,0.25,0.5,0.75,0,0,0.04,0.142857142857143,0,0.782608695652174,0
Messi,Barcelona,0,0.214285714285714,0.25,0.333333333333333,0,0,0.285714285714286,0,0.782608695652174,0
Neymar,Barcelona,0.25,0.214285714285714,0.5,0,0.090909090909091,0,0.428571428571429,0,0.782608695652174,0
Mascherano,Barcelona,0,0,0,0,0.181818181818182,0,0,0,0.782608695652174,0
Jordi Alba,Barcelona,0,0.071428571428572,0,0,0,0.08,0.142857142857143,0,0.782608695652174,0
Dani Alves,Barcelona,0,0.071428571428572,0.25,0,0,0.16,0.285714285714286,0,0.782608695652174,0
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0.04,0,0,0.104347826086957,0
Pedro Rodríguez,Barcelona,0,0,0,0.333333333333333,0,0,0,0,0.043478260869565,0
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0,0
Bartra,Barcelona,0,0,0,0,0,0,0,0,0,0
Adriano,Barcelona,0,0,0,0,0,0,0,0,0,0
