,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London"
0,Juventus,1,14,6,6,2,0.2,8,1,39,343,83.3819241982507,286,114.3,28,4,11,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Barcelona,3,14,8,6,0,0.214,8,0,39,570,88.5964912280702,505,112,39,2,15,2,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Real Madrid,1,22,5,14,3,0.75,8,0,39,506,90.7114624505929,459,108.8,49,5,14,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Juventus,1,19,4,14,1,0.2,8,5,39,432,85.1851851851852,368,116.3,44,3,27,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bayern,3,20,8,8,4,0.33,5,3,39,599,87.8130217028381,526,114.7,55,3,5,1,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barcelona,2,13,4,8,1,0.214,5,3,39,494,84.6153846153846,418,113.2,39,3,17,4,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Barcelona,3,17,8,7,2,0.214,2,3,39,448,83.7053571428571,375,114.7,61,3,11,3,3,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bayern,0,10,0,7,3,0.33,2,2,39,556,87.7697841726619,488,111.9,54,7,21,2,3,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Juventus,2,12,7,4,1,0.2,1,3,39,478,89.5397489539749,428,115.7,42,7,15,3,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Real Madrid,1,10,3,4,3,0.75,1,1,39,535,89.3457943925234,478,108.1,35,1,11,1,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Real Madrid,1,23,8,11,4,0.75,10,0,39,518,92.6640926640927,480,102.9,44,3,25,2,2,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Atlético,0,15,2,11,2,0.375,10,0,39,265,78.4905660377359,208,106,39,4,21,4,4,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Monaco,0,12,1,7,4,0,6,2,39,480,84.1666666666667,404,111.8,63,3,11,1,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Juventus,0,9,1,7,1,0.2,6,1,39,391,79.7953964194373,312,117.8,61,3,19,4,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Barcelona,2,11,6,4,1,0.214,5,1,39,741,90.4183535762483,670,115.9,44,0,8,3,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Paris,0,9,2,4,3,0.33,5,4,39,573,88.3071553228621,506,112,56,7,9,1,1,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bayern,6,21,10,5,6,0.33,4,0,39,502,85.6573705179283,430,114.9,61,2,8,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Porto,1,6,1,5,0,0,4,1,39,430,84.8837209302326,365,113,53,1,21,6,5,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Porto,3,7,5,2,0,0,3,1,39,279,80.6451612903226,225,114.5,56,4,28,1,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bayern,1,6,3,2,1,0.33,3,1,39,632,89.0822784810127,563,110.6,46,3,8,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Paris,1,8,4,1,3,0.33,4,6,39,401,86.5336658354115,347,108.6,44,3,8,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,Barcelona,3,9,6,1,2,0.214,4,1,39,778,90.7455012853471,706,110.8,47,5,8,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Juventus,1,13,5,7,1,0.2,6,2,39,612,88.3986928104575,541,114.1,51,7,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Monaco,0,14,5,7,2,0,6,0,39,325,81.2307692307692,264,108.4,53,3,17,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Atlético,0,8,2,3,3,0.375,7,0,39,318,75.1572327044025,239,110,47,4,19,5,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Real Madrid,0,16,8,3,5,0.75,7,0,39,548,84.6715328467153,464,103.3,48,3,19,3,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dortmund,0,10,2,3,5,0.33,5,3,39,561,88.4135472370767,496,117.8,54,5,6,2,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Juventus,3,11,6,3,2,0.2,5,2,39,458,87.7729257641921,402,119.5,46,2,19,5,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Barcelona,1,23,11,9,3,0.214,7,3,39,570,84.5614035087719,482,113.3,40,0,19,6,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Man. City,0,20,4,9,7,0.2,7,0,39,392,81.6326530612245,320,110.6,44,0,15,4,5,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Atlético,1,12,5,4,3,0.375,11,4,39,336,72.9166666666667,245,149.1,85,0,18,1,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Leverkusen,0,8,3,4,1,0,11,1,39,395,72.4050632911392,286,151.7,80,0,37,3,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Monaco,0,3,0,1,2,0,0,4,39,281,82.2064056939502,231,113.3,66,0,35,4,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Arsenal,2,12,7,1,4,0.5,0,2,39,704,90.3409090909091,636,113.5,66,0,4,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Bayern,7,25,13,8,4,0.33,8,2,39,663,92.9110105580694,616,109.6,32,0,7,1,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Shakhtar Donetsk,0,9,0,8,1,0,8,2,39,203,83.743842364532,170,99.8,24,2,23,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Chelsea,2,14,6,3,5,2,7,2,39,591,90.8629441624366,537,142.6,54,3,23,4,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,Paris,2,13,6,3,4,0.33,7,5,39,604,90.2317880794702,545,137.3,63,4,20,5,4,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,Real Madrid,3,14,9,3,2,0.75,5,2,39,493,89.6551724137931,442,113.1,43,1,22,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Schalke,4,15,10,3,2,0,5,1,39,526,90.4942965779468,476,122.5,43,1,11,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Porto,4,13,7,4,2,0,3,5,39,455,87.9120879120879,400,118.1,63,2,17,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Basel,0,7,3,4,0,0,3,0,39,467,82.2269807280514,384,113.7,54,3,10,2,5,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Leverkusen,1,13,3,3,7,0,4,0,39,509,87.426326129666,445,110.3,39,4,12,5,5,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
