Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
Atlético,"Estadio Metropolitano, Madrid",1,8,2,6,0,0,2,5,33%,288,67%,194,113.2 km,49,2,13,2,1,0,11
Liverpool,"Estadio Metropolitano, Madrid",0,7,0,6,2,0,2,1,67%,765,83%,636,107.8 km,41,1,6,0,3,0,13
Dortmund,"BVB Stadion Dortmund, Dortmund",1,12,3,7,2,0,3,2,48%,573,87%,499,109.8 km,53,1,7,2,1,0,13
Paris,"BVB Stadion Dortmund, Dortmund",0,9,3,7,2,1,3,3,52%,650,90%,584,104.9 km,47,7,6,2,4,0,11
Atalanta,"Stadio San Siro, Milan",1,11,5,5,1,0,6,1,48%,499,83%,413,113.2 km,53,5,18,3,1,0,19
Valencia,"Stadio San Siro, Milan",0,17,4,5,3,1,6,3,52%,489,82%,401,109.5 km,45,4,13,1,0,0,8
Tottenham,"Tottenham Hotspur Stadium, London",1,12,6,4,2,1,6,2,45%,418,81%,338,107.8 km,38,0,15,7,3,0,11
Leipzig,"Tottenham Hotspur Stadium, London",0,16,5,4,7,1,6,5,55%,577,87%,500,113.6 km,42,3,15,2,3,0,17
Chelsea,"Stamford Bridge, London",0,7,3,4,0,0,3,2,37%,416,82%,340,114.0 km,41,1,16,3,1,1,7
Bayern,"Stamford Bridge, London",3,15,6,4,3,1,3,0,63%,730,88%,639,115.8 km,53,6,6,0,2,0,11
Napoli,"Stadio San Paolo, Naples",0,7,4,2,1,0,2,1,37%,430,85%,366,111.7 km,37,1,7,2,2,0,7
Barcelona,"Stadio San Paolo, Naples",3,7,1,2,2,0,2,2,63%,818,91%,743,100.9 km,37,5,9,1,5,1,11
Lyon,"OL Stadium, Décines",0,12,2,6,4,1,5,1,38%,388,78%,303,118.1 km,45,1,26,5,2,0,17
Juventus,"OL Stadium, Décines",3,15,1,6,5,0,5,3,62%,675,85%,576,112.6 km,35,5,6,4,0,0,8
Real Madrid,"Estadio Santiago Bernabéu, Madrid",0,9,3,4,2,0,1,0,50%,593,86%,508,106.5 km,36,4,8,3,2,1,13
Man. City,"Estadio Santiago Bernabéu, Madrid",3,16,8,4,3,0,1,0,50%,618,87%,540,112.9 km,43,2,11,2,1,0,10
Valencia,"Camp de Mestalla, Valencia",3,16,7,6,3,0,9,3,57%,551,81%,448,103.7 km,48,1,10,2,4,0,14
Atalanta,"Camp de Mestalla, Valencia",4,11,5,6,2,1,9,1,43%,372,78%,289,107.1 km,51,8,20,3,1,0,12
Leipzig,"RB Arena, Leipzig",3,13,5,4,4,0,6,3,52%,573,79%,454,108.6 km,70,2,9,2,2,0,21
Tottenham,"RB Arena, Leipzig",4,7,3,4,2,0,6,1,48%,492,79%,387,105.1 km,54,2,11,4,4,0,12
Liverpool,"Anfield, Liverpool",3,35,12,15,8,2,16,2,64%,914,82%,745,147.5 km,69,5,8,0,1,0,17
Atlético,"Anfield, Liverpool",4,10,6,15,0,0,16,4,36%,362,66%,238,151.1 km,66,5,54,7,2,0,17
Paris,"Parc des Princes, Paris",3,9,4,3,2,0,5,2,50%,519,87%,449,108.3 km,40,6,16,3,5,0,13
Dortmund,"Parc des Princes, Paris",4,12,2,3,3,0,5,0,50%,612,81%,498,108.6 km,44,2,19,2,2,1,17
