Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
Juventus,"Olympiastadion, Berlin",1,Not Provided,6,6,2,Not Provided,8,1,39%,343,Not Provided,286,114.3 km,28,4,11,0,2,0,24
Barcelona,"Olympiastadion, Berlin",3,Not Provided,8,6,0,Not Provided,8,0,61%,570,Not Provided,505,112.0 km,39,2,15,2,1,0,12
Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,Not Provided,5,14,3,Not Provided,8,0,54%,506,Not Provided,459,108.8 km,49,5,14,1,2,0,11
Juventus,"Estadio Santiago Bernabéu, Madrid",1,Not Provided,4,14,1,Not Provided,8,5,46%,432,Not Provided,368,116.3 km,44,3,27,3,2,0,7
Bayern,"Football Arena Munich, Munich",3,Not Provided,8,8,4,Not Provided,5,3,53%,599,Not Provided,526,114.7 km,55,3,5,1,5,0,19
Barcelona,"Football Arena Munich, Munich",2,Not Provided,4,8,1,Not Provided,5,3,47%,494,Not Provided,418,113.2 km,39,3,17,4,2,0,12
Barcelona,"Camp Nou, Barcelona",3,Not Provided,8,7,2,Not Provided,2,3,47%,448,Not Provided,375,114.7 km,61,3,11,3,3,0,15
Bayern,"Camp Nou, Barcelona",0,Not Provided,0,7,3,Not Provided,2,2,53%,556,Not Provided,488,111.9 km,54,7,21,2,3,0,14
Juventus,"Juventus Stadium, Turin",2,Not Provided,7,4,1,Not Provided,1,3,48%,478,Not Provided,428,115.7 km,42,7,15,3,4,0,21
Real Madrid,"Juventus Stadium, Turin",1,Not Provided,3,4,3,Not Provided,1,1,52%,535,Not Provided,478,108.1 km,35,1,11,1,3,0,13
Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,Not Provided,8,11,4,Not Provided,10,0,63%,518,Not Provided,480,102.9 km,44,3,25,2,2,0,15
Atlético,"Estadio Santiago Bernabéu, Madrid",0,Not Provided,2,11,2,Not Provided,10,0,37%,265,Not Provided,208,106.0 km,39,4,21,4,4,1,12
Monaco,"Stade Louis II, Monaco",0,Not Provided,1,7,4,Not Provided,6,2,55%,480,Not Provided,404,111.8 km,63,3,11,1,2,0,14
Juventus,"Stade Louis II, Monaco",0,Not Provided,1,7,1,Not Provided,6,1,45%,391,Not Provided,312,117.8 km,61,3,19,4,2,0,17
Barcelona,"Camp Nou, Barcelona",2,Not Provided,6,4,1,Not Provided,5,1,54%,741,Not Provided,670,115.9 km,44,0,8,3,0,0,11
Paris,"Camp Nou, Barcelona",0,Not Provided,2,4,3,Not Provided,5,4,46%,573,Not Provided,506,112.0 km,56,7,9,1,1,0,16
Bayern,"Football Arena Munich, Munich",6,Not Provided,10,5,6,Not Provided,4,0,53%,502,Not Provided,430,114.9 km,61,2,8,0,1,0,19
Porto,"Football Arena Munich, Munich",1,Not Provided,1,5,0,Not Provided,4,1,47%,430,Not Provided,365,113.0 km,53,1,21,6,5,1,19
Porto,"Estádio do Dragão, Porto",3,Not Provided,5,2,0,Not Provided,3,1,38%,279,Not Provided,225,114.5 km,56,4,28,1,3,0,16
Bayern,"Estádio do Dragão, Porto",1,Not Provided,3,2,1,Not Provided,3,1,62%,632,Not Provided,563,110.6 km,46,3,8,0,4,0,22
Paris,"Parc des Princes, Paris",1,Not Provided,4,1,3,Not Provided,4,6,37%,401,Not Provided,347,108.6 km,44,3,8,2,1,0,10
Barcelona,"Parc des Princes, Paris",3,Not Provided,6,1,2,Not Provided,4,1,63%,778,Not Provided,706,110.8 km,47,5,8,3,2,0,12
Juventus,"Juventus Stadium, Turin",1,Not Provided,5,7,1,Not Provided,6,2,60%,612,Not Provided,541,114.1 km,51,7,7,2,0,0,7
Monaco,"Juventus Stadium, Turin",0,Not Provided,5,7,2,Not Provided,6,0,40%,325,Not Provided,264,108.4 km,53,3,17,1,1,0,15
Atlético,"Estadio Vicente Calderón, Madrid",0,Not Provided,2,3,3,Not Provided,7,0,42%,318,Not Provided,239,110.0 km,47,4,19,5,3,0,19
Real Madrid,"Estadio Vicente Calderón, Madrid",0,Not Provided,8,3,5,Not Provided,7,0,58%,548,Not Provided,464,103.3 km,48,3,19,3,2,0,11
Dortmund,"BVB Stadion Dortmund, Dortmund",0,Not Provided,2,3,5,Not Provided,5,3,55%,561,Not Provided,496,117.8 km,54,5,6,2,1,0,7
Juventus,"BVB Stadion Dortmund, Dortmund",3,Not Provided,6,3,2,Not Provided,5,2,45%,458,Not Provided,402,119.5 km,46,2,19,5,0,0,10
Barcelona,"Camp Nou, Barcelona",1,Not Provided,11,9,3,Not Provided,7,3,58%,570,Not Provided,482,113.3 km,40,0,19,6,1,0,6
Man. City,"Camp Nou, Barcelona",0,Not Provided,4,9,7,Not Provided,7,0,42%,392,Not Provided,320,110.6 km,44,0,15,4,5,0,12
Atlético,"Estadio Vicente Calderón, Madrid",1,Not Provided,5,4,3,Not Provided,11,4,55%,336,Not Provided,245,149.1 km,85,0,18,1,4,0,10
Leverkusen,"Estadio Vicente Calderón, Madrid",0,Not Provided,3,4,1,Not Provided,11,1,45%,395,Not Provided,286,151.7 km,80,0,37,3,6,0,25
Monaco,"Stade Louis II, Monaco",0,Not Provided,0,1,2,Not Provided,0,4,39%,281,Not Provided,231,113.3 km,66,0,35,4,1,0,13
Arsenal,"Stade Louis II, Monaco",2,Not Provided,7,1,4,Not Provided,0,2,61%,704,Not Provided,636,113.5 km,66,0,4,2,1,0,11
Bayern,"Football Arena Munich, Munich",7,Not Provided,13,8,4,Not Provided,8,2,65%,663,Not Provided,616,109.6 km,32,0,7,1,2,0,15
Shakhtar Donetsk,"Football Arena Munich, Munich",0,Not Provided,0,8,1,Not Provided,8,2,35%,203,Not Provided,170,99.8 km,24,2,23,4,1,1,5
Chelsea,"Stamford Bridge, London",2,Not Provided,6,3,5,Not Provided,7,2,51%,591,Not Provided,537,142.6 km,54,3,23,4,3,0,24
Paris,"Stamford Bridge, London",2,Not Provided,6,3,4,Not Provided,7,5,49%,604,Not Provided,545,137.3 km,63,4,20,5,4,1,17
Real Madrid,"Estadio Santiago Bernabéu, Madrid",3,Not Provided,9,3,2,Not Provided,5,2,51%,493,Not Provided,442,113.1 km,43,1,22,2,2,0,4
Schalke,"Estadio Santiago Bernabéu, Madrid",4,Not Provided,10,3,2,Not Provided,5,1,49%,526,Not Provided,476,122.5 km,43,1,11,2,1,0,7
Porto,"Estádio do Dragão, Porto",4,Not Provided,7,4,2,Not Provided,3,5,53%,455,Not Provided,400,118.1 km,63,2,17,0,1,0,6
Basel,"Estádio do Dragão, Porto",0,Not Provided,3,4,0,Not Provided,3,0,47%,467,Not Provided,384,113.7 km,54,3,10,2,5,1,19
Leverkusen,"BayArena, Leverkusen",1,Not Provided,3,3,7,Not Provided,4,0,63%,509,Not Provided,445,110.3 km,39,4,12,5,5,0,25
Atlético,"BayArena, Leverkusen",0,Not Provided,3,3,5,Not Provided,4,0,37%,204,Not Provided,150,105.9 km,38,5,14,7,5,1,11
Arsenal,"Arsenal Stadium, London",1,Not Provided,4,9,1,Not Provided,8,0,54%,516,Not Provided,451,110.5 km,39,5,8,0,3,0,12
