,Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
0,"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
1,Pogba,Juventus,0,2,1,0,0,0,2,0,90
2,Marchisio,Juventus,0,3,2,0,2,0,0,0,90
3,Morata,Juventus,1,3,1,0,1,0,0,0,85
4,Tévez,Juventus,0,4,2,1,0,1,2,0,90
5,Barzagli,Juventus,0,0,0,0,3,0,1,0,90
6,Bonucci,Juventus,0,0,0,0,1,0,4,0,90
7,Pirlo,Juventus,0,0,0,0,1,9,0,0,90
8,Vidal,Juventus,0,2,0,0,3,0,5,0,79
9,Lichtsteiner,Juventus,0,0,0,0,3,1,3,0,90
10,Evra,Juventus,0,0,0,0,0,3,4,1,89
11,"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
12,Ogbonna,Juventus,0,0,0,0,0,0,0,0,0
13,Coman,Juventus,0,0,0,0,0,0,0,0,1
14,Llorente,Juventus,0,0,0,0,0,0,0,0,5
15,Padoin,Juventus,0,0,0,0,0,0,0,0,0
16,Sturaro,Juventus,0,0,0,0,0,0,0,0,0
17,Pereyra,Juventus,0,0,0,0,0,0,0,0,11
18,Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
19,"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,90
20,Piqué,Barcelona,0,1,0,0,0,0,2,0,90
21,Rakitić,Barcelona,1,1,1,0,0,3,1,0,90
22,Sergio Busquets,Barcelona,0,0,0,0,2,1,0,0,90
23,Iniesta,Barcelona,0,0,0,1,0,0,0,0,78
24,Luis Suárez,Barcelona,1,7,3,0,0,1,1,0,90
25,Messi,Barcelona,0,3,1,1,0,0,2,0,90
26,Neymar,Barcelona,1,3,2,0,1,0,3,0,90
27,Mascherano,Barcelona,0,0,0,0,2,0,0,0,90
28,Jordi Alba,Barcelona,0,1,0,0,0,2,1,0,90
29,Dani Alves,Barcelona,0,1,1,0,0,4,2,0,90
30,"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0
31,Xavi Hernández,Barcelona,0,0,0,0,0,1,0,0,12
32,Pedro Rodríguez,Barcelona,0,0,0,1,0,0,0,0,5
33,Rafinha,Barcelona,0,0,0,0,0,0,0,0,0
34,Bartra,Barcelona,0,0,0,0,0,0,0,0,0
35,Adriano,Barcelona,0,0,0,0,0,0,0,0,0
36,Mathieu,Barcelona,0,0,0,0,0,0,0,0,6
37,Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0
