Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
"Buffon
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Pogba,Juventus,0.0,0.14285714285714285,0.25,0.0,0.0,0.0,0.2857142857142857,0.0,0.782608695652174
Marchisio,Juventus,0.0,0.21428571428571427,0.5,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Morata,Juventus,0.25,0.21428571428571427,0.25,0.0,0.0,0.0,0.0,0.0,0.7391304347826088
Tévez,Juventus,0.0,0.2857142857142857,0.5,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,0.782608695652174
Barzagli,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.782608695652174
Bonucci,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.782608695652174
Pirlo,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Vidal,Juventus,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.6869565217391305
Lichtsteiner,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.782608695652174
Evra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739130434782608
"Storari
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogbonna,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coman,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044
Llorente,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
Padoin,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sturaro,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pereyra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09565217391304348
Massimiliano Allegri,Juventus(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ter Stegen
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Piqué,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Rakitić,Barcelona,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Sergio Busquets,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Iniesta,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6782608695652174
Luis Suárez,Barcelona,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Messi,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.782608695652174
Neymar,Barcelona,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Mascherano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Jordi Alba,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Dani Alves,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Bravo
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavi Hernández,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10434782608695653
Pedro Rodríguez,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.043478260869565216
Rafinha,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartra,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052173913043478265
Luis Enrique,Barcelona(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Casillas
 (GK)",Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Varane,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Ramos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Ronaldo,Real Madrid,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Kroos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Benzema,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826086956521739
James Rodríguez,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Bale,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Marcelo,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Carvajal,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Isco,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Navas
 (GK)",Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepe,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Coentrão,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernández,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Arbeloa,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesé,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illarramendi,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlo Ancelotti,Real Madrid(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Buffon
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Chiellini,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Pogba,Juventus,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7739130434782608
Marchisio,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Morata,Juventus,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7304347826086957
Tévez,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Bonucci,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Pirlo,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869565217391305
Vidal,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Lichtsteiner,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Evra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Storari
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coman,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llorente,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052173913043478265
Barzagli,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09565217391304348
Padoin,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sturaro,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pereyra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044
Massimiliano Allegri,Juventus(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Neuer
 (GK)",Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Xabi Alonso,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Benatia,Bayern,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Thiago Alcántara,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Lewandowski,Bayern,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Rafinha,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Boateng,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Bernat,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Lahm,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591304347826087
Müller,Bayern,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565217391304347
Schweinsteiger,Bayern,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.7565217391304347
"Reina
 (GK)",Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javi Martínez,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026086956521739132
Pizarro,Bayern,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Götze,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026086956521739132
Rode,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19130434782608696
Weiser,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josep Guardiola,Bayern(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ter Stegen
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Piqué,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Rakitić,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6260869565217392
Sergio Busquets,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Iniesta,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739130434783
Luis Suárez,Barcelona,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4
Messi,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Neymar,Barcelona,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Mascherano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Jordi Alba,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Dani Alves,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Bravo
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavi Hernández,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
Pedro Rodríguez,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3826086956521739
Rafinha,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartra,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565217391304348
Luis Enrique,Barcelona(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ter Stegen
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Piqué,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Rakitić,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7130434782608696
Sergio Busquets,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Iniesta,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565217391304347
Luis Suárez,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Messi,Barcelona,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.782608695652174
Neymar,Barcelona,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Mascherano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739130434782608
Jordi Alba,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Dani Alves,Barcelona,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.782608695652174
"Bravo
 (GK)",Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavi Hernández,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06956521739130435
Pedro Rodríguez,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafinha,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026086956521739132
Bartra,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044
Adriano,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermaelen,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Enrique,Barcelona(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Neuer
 (GK)",Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Xabi Alonso,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Benatia,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Thiago Alcántara,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Lewandowski,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Rafinha,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Boateng,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Bernat,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Lahm,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Müller,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869565217391305
Schweinsteiger,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Reina
 (GK)",Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javi Martínez,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pizarro,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaudino,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Götze,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09565217391304348
Weiser,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josep Guardiola,Bayern(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Buffon
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Chiellini,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Marchisio,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Morata,Juventus,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6782608695652174
Tévez,Juventus,0.25,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7478260869565218
Bonucci,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Pirlo,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Vidal,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Lichtsteiner,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Sturaro,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5565217391304348
Evra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Storari
 (GK)",Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepe,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llorente,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10434782608695653
Barzagli,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22608695652173913
Padoin,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matri,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pereyra,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034782608695652174
Massimiliano Allegri,Juventus(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Casillas
 (GK)",Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Varane,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Pepe,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Ramos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Ronaldo,Real Madrid,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Kroos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
James Rodríguez,Real Madrid,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.782608695652174
Bale,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7478260869565218
Marcelo,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Carvajal,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Isco,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5478260869565218
