Players,Teams,Started_at,Finished_at,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides
"Oblak

 (GK)",Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Thomas,Atlético,0',Finished,Not scored,3,0,0,1,0,0,0
Koke,Atlético,0',Finished,Not scored,0,0,0,1,2,2,0
Saúl Ñíguez,Atlético,0',Finished,Scored at  4,1,1,0,2,0,2,0
Morata,Atlético,0',Substituted at 70',Not scored,1,1,0,0,0,2,2
Correa,Atlético,0',Substituted at 77',Not scored,0,0,0,2,2,1,1
Lemar,Atlético,0',Substituted at 46',Not scored,0,0,0,2,0,0,1
Renan Lodi,Atlético,0',Finished,Not scored,1,0,0,2,2,0,1
Savić,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Felipe,Atlético,0',Finished,Not scored,0,0,0,1,0,0,0
Vrsaljko,Atlético,0',Finished,Not scored,0,0,0,1,3,1,0
"Adán

 (GK)",Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Giménez,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Llorente,Atlético,46',Finished,Not scored,0,0,0,0,0,0,0
Diego Costa,Atlético,77',Finished,Not scored,1,0,0,0,0,1,0
Vitolo,Atlético,70',Finished,Not scored,0,0,0,1,0,2,0
Carrasco,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Hermoso,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Diego Simeone,Atlético(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Alisson Becker

 (GK)",Liverpool,0',Finished,Not scored,0,0,0,0,0,0,0
Fabinho,Liverpool,0',Finished,Not scored,2,0,0,1,1,2,0
Van Dijk,Liverpool,0',Finished,Not scored,0,0,0,0,0,0,0
Wijnaldum,Liverpool,0',Finished,Not scored,0,0,0,3,1,1,0
Firmino,Liverpool,0',Finished,Not scored,0,0,0,0,2,1,1
Mané,Liverpool,0',Substituted at 46',Not scored,0,0,0,0,1,2,0
Salah,Liverpool,0',Substituted at 72',Not scored,2,0,0,0,0,1,0
Gomez,Liverpool,0',Finished,Not scored,0,0,0,2,1,4,0
Henderson,Liverpool,0',Substituted at 80',Not scored,1,0,0,0,1,1,0
Robertson,Liverpool,0',Finished,Not scored,1,0,0,2,5,0,0
Alexander-Arnold,Liverpool,0',Finished,Not scored,0,0,0,2,17,0,0
"Adrián

 (GK)",Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Milner,Liverpool,80',Finished,Not scored,0,0,0,0,1,1,0
Keïta,Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Oxlade-Chamberlain,Liverpool,72',Finished,Not scored,1,0,0,0,1,0,0
Minamino,Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Origi,Liverpool,46',Finished,Not scored,0,0,0,0,2,0,0
Matip,Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jürgen Klopp,Liverpool(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Bürki

 (GK)",Dortmund,0',Finished,Not scored,0,0,0,0,0,0,0
Zagadou,Dortmund,0',Finished,Not scored,0,0,0,0,0,0,0
Hakimi,Dortmund,0',Finished,Not scored,3,0,0,3,2,0,0
Sancho,Dortmund,0',Substituted at 90',Not scored,2,1,0,1,4,1,1
