Players,Teams,Started_at,Finished_at,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides
"Buffon
 (GK)",Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Pogba,Juventus,0',Finished,Not scored,2,1,0,0,0,2,0
Marchisio,Juventus,0',Finished,Not scored,3,2,0,0,0,0,0
Morata,Juventus,0',Substituted at 85',Scored at  55,3,1,0,0,0,0,0
Tévez,Juventus,0',Finished,Not scored,4,2,1,0,0,2,0
Barzagli,Juventus,0',Finished,Not scored,0,0,0,0,0,1,0
Bonucci,Juventus,0',Finished,Not scored,0,0,0,0,0,1,0
Pirlo,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Vidal,Juventus,0',Substituted at 79',Not scored,2,0,0,0,0,1,0
Lichtsteiner,Juventus,0',Finished,Not scored,0,0,0,0,0,2,0
Evra,Juventus,0',Substituted at 89',Not scored,0,0,0,0,0,0,0
"Storari
 (GK)",Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ogbonna,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Coman,Juventus,89',Finished,Not scored,,,0,,,,
Llorente,Juventus,85',Finished,Not scored,,,0,,,,
Padoin,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sturaro,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pereyra,Juventus,79',Finished,Not scored,,,0,,,,
Massimiliano Allegri,Juventus(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Rakitić,Barcelona,0',Substituted at 90'+1,Scored at  4,0,0,0,0,0,0,0
Sergio Busquets,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Iniesta,Barcelona,0',Substituted at 78',Not scored,0,0,1,0,0,0,0
Luis Suárez,Barcelona,0',Substituted at 90'+6,Scored at  68,0,0,0,0,0,0,0
Messi,Barcelona,0',Finished,Not scored,0,0,1,0,0,0,0
Neymar,Barcelona,0',Finished,Scored at  90+7,0,0,0,0,0,0,0
Mascherano,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Jordi Alba,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Dani Alves,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Xavi Hernández,Barcelona,78',Finished,Not scored,0,0,0,0,0,0,0
Pedro Rodríguez,Barcelona,90'+6,Finished,Not scored,0,0,1,0,0,0,0
Rafinha,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bartra,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Adriano,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Mathieu,Barcelona,90'+1,Finished,Not scored,0,0,0,0,0,0,0
Luis Enrique,Barcelona(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Casillas
 (GK)",Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Varane,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Ramos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
