,Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
0,"Oblak

 (GK)",Atl�tico,0,0,0,0,0,0,0,0,90
1,Thomas,Atl�tico,0,3,0,0,1,0,0,0,90
2,Koke,Atl�tico,0,0,0,0,1,2,2,0,90
3,Saúl Ñíguez,Atl�tico,1,1,1,0,2,0,2,0,90
4,Morata,Atl�tico,0,1,1,0,0,0,2,2,70
5,Correa,Atl�tico,0,0,0,0,2,2,1,1,77
6,Lemar,Atl�tico,0,0,0,0,2,0,0,1,46
7,Renan Lodi,Atl�tico,0,1,0,0,2,2,0,1,90
8,Savić,Atl�tico,0,0,0,0,0,0,0,0,90
9,Felipe,Atl�tico,0,0,0,0,1,0,0,0,90
10,Vrsaljko,Atl�tico,0,0,0,0,1,3,1,0,90
11,"Adán

 (GK)",Atl�tico,0,0,0,0,0,0,0,0,0
12,Giménez,Atl�tico,0,0,0,0,0,0,0,0,0
13,Llorente,Atl�tico,0,0,0,0,0,0,0,0,44
14,Diego Costa,Atl�tico,0,1,0,0,0,0,1,0,13
15,Vitolo,Atl�tico,0,0,0,0,1,0,2,0,20
16,Carrasco,Atl�tico,0,0,0,0,0,0,0,0,0
17,Hermoso,Atl�tico,0,0,0,0,0,0,0,0,0
18,Diego Simeone,Atl�tico (COACH),0,0,0,0,0,0,0,0,0
19,"Alisson Becker

 (GK)",Liverpool,0,0,0,0,0,0,0,0,90
20,Fabinho,Liverpool,0,2,0,0,1,1,2,0,90
21,Van Dijk,Liverpool,0,0,0,0,0,0,0,0,90
22,Wijnaldum,Liverpool,0,0,0,0,3,1,1,0,90
23,Firmino,Liverpool,0,0,0,0,0,2,1,1,90
24,Mané,Liverpool,0,0,0,0,0,1,2,0,46
25,Salah,Liverpool,0,2,0,0,0,0,1,0,72
26,Gomez,Liverpool,0,0,0,0,2,1,4,0,90
27,Henderson,Liverpool,0,1,0,0,0,1,1,0,80
28,Robertson,Liverpool,0,1,0,0,2,5,0,0,90
29,Alexander-Arnold,Liverpool,0,0,0,0,2,17,0,0,90
30,"Adrián

 (GK)",Liverpool,0,0,0,0,0,0,0,0,0
31,Milner,Liverpool,0,0,0,0,0,1,1,0,10
32,Keïta,Liverpool,0,0,0,0,0,0,0,0,0
33,Oxlade-Chamberlain,Liverpool,0,1,0,0,0,1,0,0,18
34,Minamino,Liverpool,0,0,0,0,0,0,0,0,0
35,Origi,Liverpool,0,0,0,0,0,2,0,0,44
36,Matip,Liverpool,0,0,0,0,0,0,0,0,0
37,Jürgen Klopp,Liverpool(COACH),0,0,0,0,0,0,0,0,0
38,"Bürki

 (GK)",Dortmund,0,0,0,0,0,0,0,0,90
39,Zagadou,Dortmund,0,0,0,0,0,0,0,0,90
40,Hakimi,Dortmund,0,3,0,0,3,2,0,0,90
41,Sancho,Dortmund,0,2,1,0,1,4,1,1,90
42,Guerreiro,Dortmund,0,2,0,0,0,1,1,0,90
43,Hummels,Dortmund,0,0,0,0,2,0,1,1,90
44,Haaland,Dortmund,2,4,2,0,1,0,3,0,90
45,T. Hazard,Dortmund,0,0,0,0,0,2,0,0,67
46,Piszczek,Dortmund,0,0,0,0,2,1,0,0,90
47,Emre Can,Dortmund,0,0,0,0,0,0,3,0,90
48,Witsel,Dortmund,0,1,0,0,1,0,3,0,90
49,"Hitz

 (GK)",Dortmund,0,0,0,0,0,0,0,0,0
50,Dahoud,Dortmund,0,0,0,0,0,0,0,0,0
51,Götze,Dortmund,0,0,0,0,0,0,0,0,0
52,Schulz,Dortmund,0,0,0,0,0,0,0,0,0
53,Akanji,Dortmund,0,0,0,0,0,0,0,0,0
54,Schmelzer,Dortmund,0,0,0,0,0,0,0,0,0
55,Reyna,Dortmund,0,0,0,1,0,0,1,0,23
56,Lucien Favre,Dortmund(COACH),0,0,0,0,0,0,0,0,0
57,"Navas

 (GK)",Paris,0,0,0,0,1,0,0,0,90
58,Thiago Silva,Paris,0,1,0,0,3,0,0,0,90
59,Kimpembe,Paris,0,0,0,0,1,0,0,0,90
60,Marquinhos,Paris,0,1,0,0,0,0,1,0,90
61,Verratti,Paris,0,0,0,0,0,0,0,0,90
62,Mbappé,Paris,0,2,2,1,0,1,1,2,90
63,Neymar,Paris,1,6,1,0,1,4,1,0,90
64,Di María,Paris,0,0,0,0,0,0,0,0,77
65,Meunier,Paris,0,0,0,0,5,1,1,0,90
66,Kurzawa,Paris,0,0,0,0,2,0,2,1,90
67,Gueye,Paris,0,0,0,0,1,0,5,0,90
68,"Rico

 (GK)",Paris,0,0,0,0,0,0,0,0,0
69,Kehrer,Paris,0,0,0,0,0,0,0,0,0
70,Cavani,Paris,0,0,0,0,0,0,0,0,0
71,Icardi,Paris,0,0,0,0,0,0,0,0,0
72,Sarabia,Paris,0,0,0,0,0,0,0,0,13
73,Draxler,Paris,0,0,0,0,0,0,0,0,0
74,Kouassi,Paris,0,0,0,0,0,0,0,0,0
75,Thomas Tuchel,Paris(COACH),0,0,0,0,0,0,0,0,0
76,"Gollini

 (GK)",Atalanta,0,0,0,0,0,0,0,0,90
77,Tolói,Atalanta,0,0,0,0,2,0,0,0,90
78,Caldara,Atalanta,0,1,0,0,1,0,2,0,75
79,Palomino,Atalanta,0,0,0,0,1,1,2,0,90
80,Gosens,Atalanta,0,1,0,0,3,1,2,0,90
81,Gómez,Atalanta,0,1,0,1,1,6,0,1,81
82,Freuler,Atalanta,1,2,1,0,0,0,4,0,90
83,De Roon,Atalanta,0,1,0,0,1,0,2,0,90
84,Hateboer,Atalanta,2,2,2,0,2,1,1,0,90
85,Iličić,Atalanta,1,1,1,0,1,3,2,0,90
86,Pašalić,Atalanta,0,1,1,2,0,1,0,0,115
87,"Sportiello

 (GK)",Atalanta,0,0,0,0,0,0,0,0,0
88,Tameze,Atalanta,0,0,0,0,0,0,0,0,15
89,Czyborra,Atalanta,0,0,0,0,0,0,0,0,0
90,Muriel,Atalanta,0,0,0,0,0,0,0,0,0
91,Malinovskyi,Atalanta,0,1,0,0,0,0,1,0,9
92,Castagne,Atalanta,0,0,0,0,0,0,0,0,0
93,Zapata,Atalanta,0,0,0,0,0,1,3,0,15
94,Gian Piero Gasperini,Atalanta(COACH),0,0,0,0,0,0,0,0,0
95,"Doménech

 (GK)",Valencia,0,0,0,0,0,0,0,0,90
96,Mangala,Valencia,0,0,0,0,2,0,1,0,90
97,Kondogbia,Valencia,0,2,0,0,3,0,0,0,90
98,Gonçalo Guedes,Valencia,0,2,0,0,0,2,0,0,64
99,Soler,Valencia,0,2,0,0,1,0,1,0,90
100,Parejo,Valencia,0,0,0,0,0,10,1,0,90
101,Diakhaby,Valencia,0,0,0,0,2,1,2,0,90
102,Gayà,Valencia,0,3,0,0,1,1,0,1,90
103,Wass,Valencia,0,0,0,0,1,6,1,0,90
104,Ferrán Torres,Valencia,0,3,1,0,1,4,0,0,90
105,Maxi Gómez,Valencia,0,4,2,0,2,0,3,1,73
106,"Cillessen

 (GK)",Valencia,0,0,0,0,0,0,0,0,0
107,Thierry Correia,Valencia,0,0,0,0,0,0,0,0,0
108,Jaume Costa,Valencia,0,0,0,0,0,0,0,0,0
109,Gameiro,Valencia,0,0,0,0,0,1,0,0,17
110,Cheryshev,Valencia,1,2,2,0,0,0,0,0,26
111,Rubén Sobrino,Valencia,0,0,0,0,0,0,0,0,0
112,Gutierrez,Valencia,0,0,0,0,0,0,0,0,0
113,Albert Celades,Valencia(COACH),0,0,0,0,0,0,0,0,0
114,"Lloris

 (GK)",Tottenham,0,0,0,0,0,0,0,0,90
115,Alderweireld,Tottenham,0,0,0,0,1,0,0,0,90
116,Sánchez,Tottenham,0,0,0,0,3,0,1,0,90
117,Winks,Tottenham,0,1,1,0,4,0,0,0,90
118,Lo Celso,Tottenham,0,3,2,0,2,8,1,0,90
119,Alli,Tottenham,0,0,0,0,1,0,0,1,64
120,Bergwijn,Tottenham,0,3,1,0,0,0,1,0,90
121,Aurier,Tottenham,0,0,0,0,0,4,1,0,90
122,Moura,Tottenham,0,3,1,0,0,0,3,0,90
123,Gedson Fernandes,Tottenham,0,1,0,0,0,3,1,0,64
124,Davies,Tottenham,0,0,0,0,0,1,2,0,90
125,"Gazzaniga

 (GK)",Tottenham,0,0,0,0,0,0,0,0,0
126,Vertonghen,Tottenham,0,0,0,0,0,0,0,0,0
127,Lamela,Tottenham,0,1,1,0,0,1,1,1,26
128,Dier,Tottenham,0,0,0,0,0,0,0,0,0
129,Ndombélé,Tottenham,0,0,0,0,0,0,0,0,26
130,Skipp,Tottenham,0,0,0,0,0,0,0,0,0
131,Tanganga,Tottenham,0,0,0,0,0,0,0,0,0
132,José Mourinho,Tottenham(COACH),0,0,0,0,0,0,0,0,0
133,"Gulácsi

 (GK)",Leipzig,0,0,0,0,0,0,0,0,90
