,Player,Team,Goals,Shots,Shots_Target,Assists,Fouls,Interceptions,Crosses,Time
0,"Neuer

 (GK)",Bayern,0,0,0,0,0,0,0,90
1,Pavard,Bayern,0,1,0,0,1,2,0,90
2,Thiago Alcántara,Bayern,0,1,0,0,1,1,1,69
3,Lewandowski,Bayern,1,1,0,0,1,1,1,90
4,Boateng,Bayern,1,2,1,0,1,1,2,90
5,Davies,Bayern,0,1,1,0,1,1,1,90
6,Gnabry,Bayern,0,1,0,0,1,1,2,90
7,Müller,Bayern,0,1,0,0,1,1,2,90
8,Alaba,Bayern,0,1,0,0,1,1,1,90
9,Coman,Bayern,0,1,0,0,1,1,1,90
10,Kimmich,Bayern,0,1,0,0,1,1,1,68
11,"Ulreich

 (GK)",Bayern,0,0,0,0,0,0,0,13
12,Odriozola,Bayern,0,0,0,0,1,1,0,39
13,Coutinho,Bayern,0,1,0,0,1,1,0,35
14,Goretzka,Bayern,0,1,0,0,1,0,0,32
15,Hernández,Bayern,0,0,0,0,0,0,0,26
16,Tolisso,Bayern,0,0,0,0,1,0,0,30
17,Zirkzee,Bayern,0,0,0,0,0,0,0,22
18,"Caballero

 (GK)",Chelsea,0,0,0,0,0,0,0,90
19,Rüdiger,Chelsea,0,0,0,0,1,1,1,90
20,Alonso,Chelsea,0,1,0,0,1,1,1,90
21,A. Christensen,Chelsea,0,1,0,0,1,1,2,90
22,Jorginho,Chelsea,1,2,1,1,1,1,1,90
23,Barkley,Chelsea,0,1,1,0,1,1,1,90
24,Kovačić,Chelsea,0,1,0,0,1,1,2,90
25,Giroud,Chelsea,0,1,0,0,1,1,2,90
26,Mount,Chelsea,0,1,0,0,1,1,2,90
27,James,Chelsea,0,1,0,0,1,1,0,90
28,Azpilicueta,Chelsea,0,1,0,0,1,1,1,69
29,"Kepa

 (GK)",Chelsea,0,0,0,0,0,0,0,0
30,Abraham,Chelsea,0,0,0,0,0,1,0,33
31,Willian,Chelsea,0,1,0,0,0,0,0,35
32,Pedro Rodríguez,Chelsea,0,0,0,0,1,1,1,34
33,Zouma,Chelsea,0,0,0,0,1,0,0,31
34,Emerson,Chelsea,0,0,0,0,0,0,0,28
35,Gilmour,Chelsea,0,0,0,0,0,0,0,19
36,"Szczęsny

 (GK)",Juventus,0,0,0,0,0,0,0,90
37,De Ligt,Juventus,0,1,0,0,1,2,0,90
38,Pjanić,Juventus,0,1,0,0,1,1,1,68
39,Ronaldo,Juventus,1,1,0,0,1,1,1,90
40,Dybala,Juventus,1,2,1,0,1,1,2,90
41,Alex Sandro,Juventus,0,1,0,0,1,1,1,90
42,Danilo,Juventus,0,1,0,0,1,1,2,90
43,Cuadrado,Juventus,0,1,0,0,1,1,2,90
44,Bonucci,Juventus,0,1,0,0,1,1,1,90
45,Rabiot,Juventus,0,1,0,0,1,1,1,90
