Teams,Goals,Blocks,Possession,Passes,Passing Accuracy,Corners
Bayern,2,4,57,597,88,5
Chelsea,1,4,43,475,84,6
Juventus,2,3,54,553,87,5
Lyon,0,4,46,411,82,6
Man. City,2,3,54,552,87,6
Real Madrid,2,4,46,533,86,6
Barcelona,2,3,56,581,88,5
Napoli,1,4,44,496,84,6
Barcelona,2,4,57,594,88,5
Atalanta,1,4,43,464,83,6
Bayern,2,4,58,606,89,5
Leipzig,1,4,42,483,84,6
Juventus,2,3,52,525,86,6
Man. City,2,4,48,524,86,6
Paris,2,3,53,532,86,5
Atlético,1,4,47,423,82,6
Atalanta,1,3,47,443,84,6
Barcelona,2,4,53,611,89,6
Leipzig,1,3,48,463,85,6
Bayern,2,4,52,617,89,6
Man. City,2,3,53,529,86,5
Juventus,1,4,47,504,85,6
Atlético,1,2,45,416,83,6
Paris,2,4,55,558,87,6
Barcelona,2,3,54,562,88,6
Bayern,2,4,46,596,87,6
Man. City,1,3,49,480,85,6
Paris,2,4,51,578,88,5
Bayern,2,3,56,581,88,6
Barcelona,2,4,44,582,87,6
Paris,2,3,57,593,88,5
Man. City,1,4,43,502,84,6
Bayern,2,3,56,583,88,5
Paris,1,4,44,513,85,6
