Teams,Goals,Blocks,Possession,Passes,Passing Accuracy,Corners
Barca,2.14072531461716,2.5432203412056,59.6275413036346,649.525164365768,89.9203675210386,6.30129384994507
Napoli,0.64668108522892,2.92989671230316,54.5903837680817,555.635950744152,86.9184209464362,7.95438098907471
Bayern,2.56252902746201,3.63899195194244,59.5670640468597,678.82341170311,91.1528525176271,5.48943471908569
Chelsea,0.494689226150513,5.15249955654144,50.1220009326935,494.683311223984,85.0405612180676,4.86114597320557
City,0.916101366281509,3.18575835227966,50.1131994724274,537.010161697865,86.8811434931705,4.83267641067505
Madrid,0.723089188337326,2.98630911111832,53.4319846630096,568.944248974323,88.2270520386114,5.59804725646973
Juventus,1.78167733550072,2.70063418149948,44.6053133010864,404.940042674541,81.6850498689965,4.86008548736572
Lyon,0.450789794325829,4.17768287658691,43.3249945640564,388.013977408409,80.1862925370175,6.3353214263916
Atalanta,2.87786543369293,2.10245078802109,46.7698719501495,486.516269683838,83.0595196163673,6.39372539520264
Paris,0.725170239806175,4.73297595977783,54.4996757507324,546.837215006352,85.7058739336727,4.08804273605347
Barca,1.79110825061798,3.79953932762146,56.2101566791534,611.190378367901,87.46961717602,5.2852029800415
Bayern,2.21272858977318,3.68692445755005,59.0083575248718,678.478780984879,90.3821957080792,5.25489616394043
Juventus,1.97674939036369,3.04422497749329,46.6342269182205,453.186908185482,83.8967834072775,5.76456212997437
Atl̩tico,0.648701429367065,3.42955935001373,42.6978052854538,330.542748391628,78.9588537912024,6.53051853179932
Leipzig,2.04557377099991,5.22039377689362,53.6742188930512,548.134078502655,88.2111545842518,6.33080434799194
City,1.43946948647499,2.83070468902588,51.9308714866638,554.110253334045,87.2579569512723,5.85287094116211
Paris,1,3,50,575,85,3
Atalanta,2,2,51,569,86,6
Bayern,3,4,59,622,88,5
Barca,1,5,58,594,88,5
Atl̩tico,1,4,43,367,77,6
Juventus,1,3,47,449,84,6
City,1,4,53,551,87,5
Leipzig,2,4,54,578,87,6
Bayern,2,4,60,658,89,5
Leipzig,1,6,58,599,87,4
Juventus,1,3,44,459,81,5
Atalanta,2,3,53,588,85,5
Leipzig,2,6,53,541,88,6
Bayern,2,4,57,607,90,6
Atalanta,2,3,45,419,83,6
Juventus,1,4,50,432,83,5
Bayern,3,3,55,617,86,5
Atalanta,1,3,47,439,81,5
